,B,C
3.188777,0.00014659181576738605,0.00037673451168425854
3.2006,0.00014635720238533726,0.00037829968373856063
3.205779,0.00014625412712009734,0.000378984457463315
3.222141,0.00014592722676172204,0.00038114488558135216
3.234,0.00014568916647850436,0.0003827076164636058
3.239163,0.00014558522272935405,0.0003833872206012482
3.255477,0.00014525565371842117,0.00038553129824869207
3.2673,0.00014501573002466525,0.0003870821641119068
3.272479,0.0001449103627878468,0.00038776065379449853
3.288841,0.00014457635535114008,0.00038990115718597843
3.3007,0.00014433327064194244,0.0003914493827996185
3.305863,0.00014422717211186857,0.0003921226547240707
3.322177,0.00014389092423792283,0.0003942466598296618
3.334,0.0001436462815348795,0.0003957829174065948
3.339163,0.0001435392008875734,0.000396452981256995
3.355477,0.00014319991130190302,0.000398566820394182
3.3673,0.00014295312175938927,0.00040009568255518197
3.372479,0.0001428447940648705,0.0004007645114006167
3.388841,0.00014250161828613988,0.0004028744005042968
3.4007,0.00014225206301788382,0.0004044003548814035
3.405863,0.00014214319246761385,0.00040506390854112487
3.422177,0.00014179836435725983,0.0004071571239172113
3.434,0.00014154767048688946,0.00040867098873594417
3.439179,0.00014143766135266936,0.0004093332355204751
3.455541,0.0001410892865052559,0.00041142227693699123
3.4674,0.00014083606987552358,0.0004129330746503283
3.472563,0.00014072563287867256,0.0004135900170317446
3.488877,0.00014037596454350465,0.00041566229605893997
3.5007,0.00014012186516899165,0.0004171609433800981
3.505863,0.0001400107250947121,0.0004178145513397902
3.522177,0.0001396588870464131,0.0004198762736927729
3.534,0.00013940326373695477,0.000421367250416815
3.539179,0.00013929113495231686,0.0004220194554815935
3.555541,0.00013893621919769332,0.00042407670486934926
3.5674,0.00013867840881339675,0.000425564401903399
3.572563,0.00013856600981888967,0.0004262112711481808
3.588877,0.0001382102924761662,0.0004282516638732455
3.6007,0.0001379519500107398,0.00042972714686703364
3.605879,0.00013783865436210017,0.0004303725564202497
3.622241,0.00013748014738618438,0.0004324082994269388
3.6341,0.00013721982400263937,0.0004338803771708424
3.639263,0.00013710635415396135,0.00043452043754425076
3.655577,0.00013674734511019,0.0004365392847046081
3.6674,0.0001364867031242757,0.0004379991228462881
3.672563,0.00013637276504840963,0.0004386357610757053
3.688877,0.00013601232005818593,0.0004406437815494677
3.7007,0.0001357506781646872,0.000442095760118845
3.705879,0.00013563597052593967,0.00044273086345685887
3.722241,0.00013527313358537715,0.00044473400035869323
3.7341,0.0001350097953469369,0.00044618240771912874
3.739263,0.00013489504484316545,0.0004468121521781178
3.755577,0.00013453211549232426,0.0004487983667126779
3.7674,0.00013426875056645339,0.00045023451911256515
3.772579,0.00013415330848877554,0.0004508626846658775
3.788941,0.00013378823120664774,0.0004528438788728992
3.8008,0.00013352334453417813,0.0004542763631253509
3.805963,0.0001334079393787197,0.00045489916965061727
3.822277,0.0001330430185128731,0.00045686344351364585
3.8341,0.00013277828242054947,0.000458283676607013
3.839263,0.0001326626060670975,0.000458903005725669
3.855577,0.0001322968647157822,0.0004608562842960361
3.8674,0.00013203156812353488,0.00046226854125218787
3.872579,0.00013191530775779445,0.00046288623390402026
3.888941,0.00013154775499841785,0.0004648343134829239
3.9008,0.00013128117742154286,0.00046624277582144627
3.905963,0.00013116506283164528,0.00046685511779495284
3.922277,0.00013079800589640682,0.000468786306796999
3.9341,0.00013053182063617783,0.0004701825427187247
3.939279,0.0001304151879666151,0.00047079321502943523
3.955641,0.00013004652588688003,0.0004727191021311754
3.9675,0.00012977920719506973,0.0004741114707121204
3.972663,0.00012966278623674287,0.00047471680314528777
3.988977,0.00012929482552484148,0.00047662583583525425
4.0008,0.00012902804550212748,0.00047800600611776954
4.005963,0.00012891151802491243,0.0004786078330657696
4.022277,0.0001285432511005472,0.00048050578676142716
4.0341,0.00012827627761366394,0.00048187792494921056
4.039279,0.00012815932288413247,0.00048247803958550116
4.055641,0.0001277897349345513,0.00048437055936842064
4.0675,0.00012752183124046287,0.00048573873711798936
4.072663,0.00012740517788853285,0.00048633353514278136
4.088977,0.00012703657076216818,0.00048820927678066254
4.1008,0.00012676940465398045,0.0004895653140831988
4.105979,0.00012665237965407588,0.0004901583757356544
4.122341,0.0001262826254232414,0.0004920286091284888
4.1342,0.00012601465349385804,0.0004933806337098668
4.139363,0.00012589798399055123,0.0004939683985717084
4.155677,0.00012552937920641392,0.0004958219180968453
4.1675,0.00012526226484716558,0.0004971618503599921
4.172663,0.00012514562585316582,0.0004977461043312448
4.188977,0.0001247771426443904,0.000499588531955424
4.2008,0.0001245101400045866,0.0005009204266826559
4.205979,0.00012439320585776452,0.0005015029142092152
4.222341,0.00012402381478360779,0.0005033397409132775
4.2342,0.00012375617740024417,0.0005046675579555907
4.239363,0.00012363967205707973,0.0005052447842015871
4.255677,0.00012327165877239275,0.0005070650114546507
4.2675,0.00012300504137340005,0.0005083808211759696
4.272679,0.00012288828763832958,0.0005089562646106066
4.289041,0.00012251951271702278,0.0005107708406741897
4.3009,0.00012225236512579968,0.0005120825376348637
4.306063,0.00012213608424418434,0.0005126527469846244
4.322377,0.00012176882427711521,0.0005144508108462697
4.3342,0.00012150279418912827,0.0005157505649540179
4.339363,0.00012138665722968915,0.0005163172768267112
4.355677,0.00012101987276702167,0.000518104294621111
4.3675,0.00012075420676392204,0.000519396047647207
4.372679,0.0001206378856394049,0.0005199609572128442
4.389041,0.00012027054036340182,0.0005217422642176502
4.4009,0.00012000448773072153,0.0005230298631674978
4.406063,0.00011988869883458443,0.0005235895841251086
4.422377,0.00011952305332992071,0.0005253545243800641
4.4342,0.00011925824953378917,0.0005266302875393797
