,AA,H2O,ASA,ASAA,SA,HA
95.26287925,1.57190678902e-78,2.4999650628,1.5317926926,1.90166475095e-77,0.13612644097,10.5645532121
95.7891935,2.79801530848e-80,2.50002120922,1.53165738277,-1.60752378226e-78,0.136129498393,10.5647904801
96.31550775,4.97905833866e-82,2.50006158362,1.5315600826,1.36214867277e-79,0.136131697008,10.5649610975
96.841822,8.85844467345e-84,2.50009670115,1.5314754512,-1.15362672131e-80,0.136133609377,10.5651095
97.36813625,1.5757542003e-85,2.50012142653,1.53141586429,9.77121190283e-82,0.13613495588,10.5652139865
97.8944505,2.80267126392e-87,2.50015221579,1.53134166377,-8.2759386037e-83,0.136136632567,10.5653440982
98.42076475,4.98413347852e-89,2.50017912901,1.53127680432,7.00944960798e-84,0.136138098198,10.5654578302
98.947079,8.8624226521e-91,2.50020760495,1.53120817876,-5.93670992878e-85,0.13613964892,10.5655781662
99.47339325,1.57565988143e-92,2.5002457791,1.53111618109,5.02808068865e-86,0.136141727721,10.5657394856
99.9997075,2.80094782668e-94,2.50030207911,1.53098050112,-4.25843944156e-87,0.136144793499,10.5659774027
100.52602175,4.9776039461e-96,2.50034168004,1.53088506497,3.60655229377e-88,0.136146949988,10.5661447515
101.052336,8.84412800028e-98,2.5003834458,1.53078441173,-3.05441227237e-89,0.136149224354,10.5663212485
101.57865025,1.57112530413e-99,2.50043718669,1.53065489907,2.58675418481e-90,0.136152150782,10.5665483511
102.1049645,2.79028367558e-101,2.50048006745,1.53055155874,-2.19066428463e-91,0.136154485859,10.5667295601
102.63127875,4.95422862428e-103,2.50048996423,1.53052770793,1.85521454087e-92,0.136155024914,10.5667713827
103.157593,8.79618968394e-105,2.50051774349,1.53046076136,-1.57111746709e-93,0.136156537692,10.5668887745
103.68390725,1.56153146121e-106,2.50053796087,1.5304120385,1.33051534428e-94,0.136157638715,10.5669742108
104.2102215,2.77183876326e-108,2.50056286431,1.53035202248,-1.12674963819e-95,0.136158994899,10.5670794497
104.73653575,4.91965614933e-110,2.50058963302,1.5302875113,9.54181339055e-97,0.136160452649,10.5671925711
105.26285,8.73061257331e-112,2.50061433006,1.5302279927,-8.08035754718e-98,0.136161797592,10.5672969378
105.78916425,1.54917515975e-113,2.50063439365,1.53017964045,6.84269289558e-99,0.136162890238,10.5673817242
106.3154785,2.74862655587e-115,2.5006560477,1.53012745531,-5.79455710266e-100,0.136164069485,10.5674732316
106.84179275,4.87628906468e-117,2.50068304133,1.53006240205,4.90692534947e-101,0.136165539478,10.5675873034
107.368107,8.64977551659e-119,2.50070638796,1.53000613789,-4.15522924646e-102,0.136166810886,10.5676859635
107.89442125,1.53414900976e-120,2.50072304371,1.52996599834,3.51866407506e-103,0.136167717967,10.5677563487
108.4207355,2.72078770126e-122,2.5007380593,1.52992981151,-2.97960219114e-104,0.136168535737,10.5678198028
108.94704975,4.82495471188e-124,2.50075720354,1.52988367486,2.5231085732e-105,0.136169578317,10.567900704
109.473364,8.55569665352e-126,2.50078148675,1.52982515358,-2.13653498762e-106,0.13617090072,10.568003322
