,C,B,AH,A-,BH+,AC-,P
124.444444444,0.0498210428535,8.93178143361e-05,0.187074849235,0.0236012934619,0.0306143474357,0.0070130539738,0.128122851894
125.222222222,0.0499569078697,8.99145595937e-05,0.185964864913,0.0235658922272,0.0305896403791,0.0070237481519,0.128985991452
126.0,0.0500927645013,9.05169174972e-05,0.184856814932,0.0235305594013,0.0305649655549,0.00703440615357,0.129847590683
126.777777778,0.0502286219443,9.11250249326e-05,0.183750685401,0.0234952934369,0.0305403223627,0.00704502892575,0.130707658856
127.555555556,0.0503644882607,9.17389003027e-05,0.182646499366,0.0234600934897,0.0305157110502,0.00705561756052,0.131566175675
128.333333333,0.0505003718795,9.235867486e-05,0.181544261732,0.0234249584148,0.0304911313983,0.00706617298351,0.132423135463
129.111111111,0.050636281038,9.29844474763e-05,0.180443977195,0.0233898871011,0.0304665832206,0.00707669611955,0.133278532726
129.888888889,0.0507722238033,9.36163183579e-05,0.179345650273,0.0233548784547,0.0304420663295,0.00708718787483,0.134132362149
130.666666667,0.0509082080811,9.42543894443e-05,0.178249285319,0.0233199314035,0.030417580536,0.00709764913246,0.134984618588
131.444444444,0.0510442416218,9.48987644443e-05,0.177154886521,0.0232850448976,0.0303931256496,0.00710808075202,0.135835297067
132.222222222,0.0511803320244,9.55495488824e-05,0.176062457906,0.0232502179084,0.0303687014782,0.00711848356979,0.136684392777
133.0,0.0513164867411,9.62068501508e-05,0.174972003349,0.0232154494288,0.0303443078282,0.00712885839936,0.137531901065
133.777777778,0.0514527130811,9.68707775632e-05,0.173883526575,0.0231807384721,0.0303199445042,0.00713920603216,0.138377817432
134.555555556,0.0515890182147,9.7541442411e-05,0.172797031162,0.0231460840711,0.0302956113092,0.00714952723808,0.139222137531
135.333333333,0.0517254091771,9.82189580202e-05,0.17171252055,0.0231114852783,0.0302713080443,0.00715982276599,0.140064857159
136.111111111,0.0518618928717,9.89034398101e-05,0.17062999804,0.0230769411645,0.0302470345088,0.0071700933443,0.140905972253
136.888888889,0.0519984755113,9.95950117698e-05,0.169549451274,0.0230424505687,0.0302227902075,0.00718033963879,0.141745491487
137.666666667,0.0521351643557,0.000100293787906,0.16847089912,0.0230080128991,0.0301985752336,0.00719056233449,0.142583398232
138.444444444,0.052271965903,0.000100999889545,0.167394344479,0.0229736272431,0.030174389381,0.00720076213788,0.143419688839
139.222222222,0.0524088865587,0.000101713441251,0.166319790127,0.022939292731,0.0301502324404,0.00721093970939,0.144254359788
140.0,0.05254593262,0.000102434569901,0.165247238725,0.0229050085158,0.0301261042005,0.00722109568474,0.145087407678
140.777777778,0.0526831102743,0.000103163404827,0.164176692818,0.0228707737675,0.030102004448,0.00723123068049,0.145918829229
141.555555556,0.0528204256007,0.000103900077905,0.163108154846,0.0228365876714,0.030077932967,0.00724134529567,0.146748621274
142.333333333,0.0529578845733,0.000104644723639,0.162041627141,0.0228024494271,0.0300538895396,0.0072514401125,0.147576780758
143.111111111,0.0530954930638,0.000105397479236,0.160977111932,0.0227683582482,0.0300298739451,0.00726151569685,0.148403304732
143.888888889,0.0532332568444,0.000106158484685,0.15991461135,0.0227343133618,0.0300058859605,0.0072715725987,0.149228190354
144.666666667,0.0533711815906,0.000106927882833,0.15885412743,0.0227003140076,0.0299819253601,0.00728161135246,0.150051434881
145.444444444,0.0535092728837,0.000107705819478,0.157795662114,0.0226663594382,0.0299579919156,0.00729163247738,0.150873035671
146.222222222,0.0536475362139,0.000108492443443,0.156739217253,0.0226324489179,0.0299340853958,0.00730163647791,0.151692990175
147.0,0.0537859769823,0.000109287906672,0.155684794612,0.0225985817228,0.0299102055668,0.00731162384403,0.152511295938
147.777777778,0.053924600504,0.000110092364319,0.154632395874,0.0225647571401,0.0298863521916,0.00732159505159,0.153327950596
148.555555556,0.0540634120101,0.000110905974841,0.153582022636,0.0225309744676,0.0298625250303,0.00733155056264,0.15414295187
149.333333333,0.0542024166503,0.000111728900093,0.152533676421,0.0224972330138,0.0298387238395,0.00734149082571,0.154956297566
150.111111111,0.0543416194954,0.000112561305434,0.151487358674,0.0224635320968,0.029814948373,0.00735141627619,0.155767985572
150.888888889,0.0544810255391,0.000113403359822,0.150443070768,0.0224298710445,0.029791198381,0.00736132733652,0.156578013856
151.666666667,0.0546206397008,0.000114255235928,0.149400814003,0.0223962491937,0.0297674736103,0.00737122441655,0.157386380462
152.444444444,0.0547604668275,0.000115117110241,0.148360589614,0.0223626658902,0.029743773804,0.00738110791379,0.158193083509
153.222222222,0.0549005116957,0.000115989163186,0.147322398768,0.022329120488,0.0297200987017,0.00739097821367,0.158998121188
154.0,0.0550407790141,0.000116871579238,0.14628624257,0.0222956123493,0.029696448039,0.00740083568977,0.159801491759
154.777777778,0.0551812734249,0.000117764547044,0.145252122063,0.0222621408437,0.0296728215478,0.00741068070413,0.160603193552
155.555555556,0.0553219995065,0.000118668259551,0.144220038232,0.0222287053484,0.0296492189558,0.00742051360742,0.161403224959
156.333333333,0.0554629617749,0.000119582914134,0.143189992005,0.0221953052472,0.0296256399864,0.0074303347392,0.162201584437
157.111111111,0.0556041646859,0.000120508712734,0.142161984257,0.0221619399308,0.0296020843589,0.00744014442815,0.162998270507
157.888888889,0.055745612637,0.000121445861989,0.14113601581,0.0221286087958,0.029578551788,0.00744994299225,0.163793281743
158.666666667,0.0558873099689,0.000122394573389,0.140112087437,0.0220953112448,0.0295550419838,0.00745973073901,0.164586616782
159.444444444,0.0560292609678,0.000123355063416,0.13909019986,0.022062046686,0.0295315546517,0.00746950796566,0.165378274314
160.222222222,0.0561714698667,0.000124327553705,0.13807035376,0.0220288145328,0.0295080894921,0.00747927495933,0.16616825308
161.0,0.0563139426861,0.000125312259972,0.137052565963,0.0219956143236,0.0294846464839,0.00748903216034,0.16695653847
161.777777778,0.0564566816818,0.000126309426324,0.136036821106,0.0219624453148,0.0294612250376,0.00749877972283,0.167743142542
162.555555556,0.056599690975,0.000127319290049,0.13502311976,0.0219293069709,0.0294378248389,0.00750851786797,0.168528064175
163.333333333,0.0567429746146,0.000128342094798,0.134011462458,0.0218961987318,0.0294144455675,0.00751824683571,0.169311302291
164.111111111,0.0568865365987,0.000129378090385,0.133001849702,0.0218631200337,0.0293910868972,0.00752796686349,0.170092855855
164.888888889,0.0570303808808,0.000130427532867,0.131994281956,0.0218300703144,0.0293677484956,0.00753767818128,0.170872723876
165.666666667,0.0571745113728,0.000131490684705,0.130988759656,0.021797049014,0.0293444300245,0.00754738101043,0.171650905402
166.444444444,0.0573189319464,0.000132567814969,0.129985283205,0.0217640555753,0.0293211311388,0.00755707556354,0.17242739952
167.222222222,0.0574636464352,0.000133659199548,0.12898385298,0.0217310894428,0.0292978514873,0.00756676204454,0.173202205355
168.0,0.0576086586356,0.00013476512137,0.12798446933,0.021698150063,0.0292745907118,0.00757644064875,0.173975322069
168.777777778,0.0577539723087,0.000135885870635,0.12698713258,0.0216652368839,0.0292513484469,0.00758611156301,0.174746748855
169.555555556,0.0578995911819,0.00013702174505,0.125991843032,0.0216323493545,0.0292281243202,0.00759577496577,0.175516484942
170.333333333,0.0580455189496,0.000138173050085,0.124998600967,0.0215994869244,0.0292049179516,0.0076054310272,0.176284529589
171.111111111,0.0581917592755,0.000139340099224,0.124007406647,0.021566649044,0.0291817289533,0.00761507990927,0.177050882084
171.888888889,0.0583383157936,0.000140523214237,0.123018260315,0.0215338351634,0.0291585569293,0.00762472176584,0.177815541745
172.666666667,0.0584851921095,0.000141722725459,0.1220311622,0.0215010447326,0.0291354014754,0.00763435674276,0.178578507915
173.444444444,0.0586323918019,0.000142938972079,0.121046112514,0.0214682772008,0.0291122621787,0.00764398497789,0.179339779964
174.222222222,0.058779918424,0.000144172302444,0.12006311146,0.0214355320162,0.0290891386174,0.00765360660121,0.180099357285
175.0,0.058927775505,0.000145423074372,0.119082159227,0.0214028086256,0.0290660303604,0.00766322173486,0.180857239294
175.777777778,0.0590759665511,0.000146691655479,0.118103255997,0.021370106474,0.0290429369672,0.0076728304932,0.181613425427
176.555555556,0.0592244950472,0.00014797842352,0.117126401944,0.0213374250043,0.0290198579871,0.00768243298284,0.182367915143
177.333333333,0.0593733644581,0.000149283766742,0.116151597234,0.0213047636567,0.0289967929594,0.0076920293027,0.183120707916
178.111111111,0.0595225782296,0.000150608084258,0.115178842032,0.0212721218686,0.0289737414126,0.007701619544,0.183871803239
178.888888889,0.0596721397906,0.000151951786423,0.114208136501,0.0212394990738,0.0289507028642,0.00771120379034,0.184621200621
179.666666667,0.0598220525533,0.000153315295246,0.113239480799,0.0212068947025,0.0289276768202,0.00772078211769,0.185368899585
180.444444444,0.0599723199157,0.000154699044798,0.112272875091,0.0211743081806,0.028904662775,0.00773035459438,0.186114899667
181.222222222,0.0601229452622,0.000156103481656,0.11130831954,0.0211417389293,0.0288816602104,0.00773992128113,0.186859200415
182.0,0.060273931965,0.00015752906535,0.110345814316,0.0211091863647,0.0288586685958,0.00774948223103,0.187601801387
182.777777778,0.060425283386,0.000158976268846,0.109385359595,0.0210766498974,0.0288356873869,0.00775903748955,0.188342702153
183.555555556,0.0605770027388,0.000160445573957,0.108426954774,0.0210441289264,0.028812716019,0.00776858709259,0.189081902943
184.333333333,0.060729093009,0.000161937474157,0.10747059798,0.0210116228399,0.0287897538956,0.00777813105571,0.189819405068
185.111111111,0.0608815575573,0.000163452500651,0.106516289417,0.0209791310404,0.0287668004149,0.0077876693745,0.190555208129
185.888888889,0.0610343997206,0.000164991186073,0.105564029292,0.0209466529172,0.0287438549738,0.00779720205664,0.191289311729
186.666666667,0.0611876228277,0.000166554078618,0.104613817828,0.0209141878468,0.028720916954,0.00780672910721,0.192021715475
187.444444444,0.0613412302038,0.000168141743251,0.103665655269,0.0208817351959,0.0286979857206,0.00781625052466,0.192752418969
188.222222222,0.0614952251732,0.000169754762348,0.102719541879,0.0208492943216,0.0286750606215,0.00782576629985,0.193481421815
189.0,0.061649611061,0.000171393736372,0.101775477943,0.0208168645711,0.0286521409868,0.00783527641566,0.194208723614
189.777777778,0.0618043911942,0.000173059284575,0.100833463776,0.0207844452812,0.028629226128,0.00784478084688,0.194934323962
190.555555556,0.0619595689035,0.000174752045732,0.0998934997163,0.0207520357774,0.0286063153375,0.0078542795601,0.195658222451
191.333333333,0.0621151475251,0.000176472678922,0.0989555861326,0.0207196353738,0.0285834078873,0.00786377251356,0.196380418665
192.111111111,0.0622711304018,0.000178221864331,0.0980197234255,0.0206872433717,0.0285605030288,0.00787325965707,0.197100912181
192.888888889,0.0624275208845,0.000180000304105,0.0970859120293,0.0206548590597,0.0285375999915,0.00788274093184,0.197819702566
193.666666667,0.0625843223346,0.000181808723236,0.0961541524142,0.0206224817121,0.0285146979825,0.00789221627033,0.198536789377
194.444444444,0.0627415381246,0.000183647870499,0.0952244450891,0.0205901105889,0.028491796185,0.00790168559611,0.199252172157
195.222222222,0.0628991716407,0.00018551851943,0.0942967906037,0.0205577449344,0.028468893758,0.00791114882365,0.199965850436
196.0,0.0630572262841,0.000187421469346,0.0933711895511,0.0205253839766,0.0284459898348,0.00792060585818,0.20067782373
196.777777778,0.0632157054726,0.000189357546433,0.0924476425704,0.0204930269267,0.0284230835221,0.00793005659543,0.201388091535
197.555555556,0.0633746126428,0.000191327604868,0.0915261503496,0.0204606729773,0.0284001738987,0.00793950092145,0.202096653333
198.333333333,0.0635339512521,0.000193332528015,0.0906067136281,0.0204283213024,0.0283772600147,0.00794893871234,0.202803508582
199.111111111,0.06369372478,0.000195373229669,0.0896893331996,0.0203959710557,0.0283543408897,0.00795836983405,0.20350865672
