,r4,r5,v_sum,r0,r1,r2,r3,f,Csat
22.63151275,2.29094180398e-09,0.0,0.000238672994285,0.0193889212952,0.0249933483385,0.0,0.0,0.0,1.52488977603
23.157827,2.21595513827e-09,0.0,0.00022884718593,0.0185868910006,0.0239631417983,0.0,0.0,0.0,1.52496523056
23.68414125,2.14535532135e-09,0.0,0.000219611119953,0.017833423253,0.0229949090907,0.0,0.0,0.0,1.52493633867
24.2104555,2.07878190124e-09,0.0,0.000210918759396,0.0171246730477,0.0220837944047,0.0,0.0,0.0,1.52657867452
24.73676975,2.01591197971e-09,0.0,0.000202728431253,0.0164571676327,0.0212254048054,0.0,0.0,0.0,1.52724514985
25.263084,1.95645580598e-09,0.0,0.000195002379228,0.0158277670267,0.0204157623537,0.0,0.0,0.0,1.5270795703
25.78939825,1.9001523199e-09,0.0,0.000187706292796,0.015233623095,0.0196512539049,0.0,0.0,0.0,1.52730681442
26.3157125,1.84676592559e-09,0.0,0.000180808960179,0.0146721492998,0.0189285940853,0.0,0.0,0.0,1.5279010058
26.84202675,1.79608346134e-09,0.0,0.000174281937057,0.014140992079,0.0182447900328,0.0,0.0,0.0,1.52777026205
27.368341,1.74791162543e-09,0.0,0.000168099259194,0.0136380061129,0.0175971108431,0.0,0.0,0.0,1.52784576473
27.89465525,1.70207474532e-09,0.0,0.000162237188993,0.0131612326006,0.016983060652,0.0,0.0,0.0,1.528221647
28.4209695,1.65841283838e-09,0.0,0.000156673991524,0.012708880133,0.0164003548727,0.0,0.0,0.0,1.52849210041
28.94728375,1.61677993464e-09,0.0,0.000151389739166,0.0122793080594,0.0158468994836,0.0,0.0,0.0,1.52876072351
29.473598,1.57704259159e-09,0.0,0.000146366134176,0.011871011437,0.0153207722383,0.0,0.0,0.0,1.52896634346
29.99991225,1.53907856169e-09,0.0,0.000141586345013,0.0114826072001,0.0148202053467,0.0,0.0,0.0,1.52822359775
30.5262265,1.50277568064e-09,0.0,0.000137034873118,0.0111128229112,0.014343571384,0.0,0.0,0.0,1.52914723205
31.05254075,1.46803086264e-09,0.0,0.000132697428782,0.0107604863136,0.0138893701705,0.0,0.0,0.0,1.52861722572
31.578855,1.43474921182e-09,0.0,0.000128560820171,0.0104245160122,0.0134562170496,0.0,0.0,0.0,1.53019060499
32.10516925,1.4028432351e-09,0.0,0.000124612853995,0.0101039131503,0.0130428324024,0.0,0.0,0.0,1.52843539463
32.6314835,1.3722321069e-09,0.0,0.000120842242015,0.00979775359939,0.0126480317849,0.0,0.0,0.0,1.52904111744
33.15779775,1.34284118402e-09,0.0,0.000117238537237,0.00950518260325,0.0122707191896,0.0,0.0,0.0,1.52845155651
33.684112,1.31460126108e-09,0.0,0.000113792040449,0.00922540702513,0.011909877205,0.0,0.0,0.0,1.52788463026
34.21042625,1.28744819109e-09,0.0,0.000110493747961,0.00895769097924,0.0115645615021,0.0,0.0,0.0,1.52868229315
34.7367405,1.26132241552e-09,0.0,0.000107335290516,0.00870135075879,0.011233894401,0.0,0.0,0.0,1.52958839109
35.26305475,1.23616856642e-09,0.0,0.000104308880511,0.00845575045701,0.0109170593136,0.0,0.0,0.0,1.52883023755
35.789369,1.21193510883e-09,0.0,0.000101407264264,0.00822029801115,0.010613295719,0.0,0.0,0.0,1.52877849825
36.31568325,1.18857401895e-09,0.0,9.86236787711e-05,0.00799444162323,0.0103218946134,0.0,0.0,0.0,1.52897434627
36.8419975,1.16604049384e-09,0.0,9.59518124867e-05,0.0077776665172,0.0100421943838,0.0,0.0,0.0,1.52907348793
37.36831175,1.14429268923e-09,0.0,9.33857697e-05,0.00756949199682,0.00977357706229,0.0,0.0,0.0,1.52841465659
37.894626,1.12329148233e-09,0.0,9.09200381442e-05,0.00736946877268,0.00951546491947,0.0,0.0,0.0,1.52825564376
38.42094025,1.10300025683e-09,0.0,8.85494595033e-05,0.00717717653088,0.00926731736478,0.0,0.0,0.0,1.52867377535
38.9472545,1.08338470786e-09,0.0,8.62692025258e-05,0.00699222171837,0.00902862812075,0.0,0.0,0.0,1.52912164047
39.47356875,1.06441266469e-09,0.0,8.40747384872e-05,0.0068142355234,0.00879892264474,0.0,0.0,0.0,1.52910383997
